"","id","sex","strategy","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","1046","F","Allocentric","landuse_end1",-1.06100750928759,0.499075176797445,-2.12594726929929,0.0335076503921154,-2.03917688138854,-0.0828381371866366
"2","1046","F","Allocentric","landuse_end2",0.870553380378848,0.0742991339108352,11.7168711740783,0.000000000000000000000000000000104459128094648,0.724929753831092,1.0161770069266
"3","1047","M","Egocentric","landuse_end1",-0.0945562177285566,0.0805681919827851,-1.17361722289561,0.240548379502377,-0.252466972314324,0.063354536857211
"4","1047","M","Egocentric","landuse_end2",0.326755007767499,0.0576559043213334,5.66732950620974,0.0000000145040256379294,0.213751511801598,0.439758503733399
"5","1052","M","Allocentric","landuse_end1",0.257595069057198,0.76121429386032,0.338400199700488,0.735061623657939,-1.23435753142612,1.74954766954051
"6","1052","M","Allocentric","landuse_end2",1.31501744884359,0.285859045439728,4.60023032267787,0.00000422024054236983,0.754744015126724,1.87529088256046
"7","1055","M","Allocentric","landuse_end1",0.163252863891799,0.463647618937877,0.352105472396857,0.724759164493336,-0.745479770744191,1.07198549852779
"8","1055","M","Allocentric","landuse_end2",-0.0100991892593157,0.318086533548933,-0.0317498170910842,0.974671566597803,-0.633537338982416,0.613338960463785
"9","1057","M","Allocentric","landuse_end1",0.146571157301099,0.524331678071818,0.27953900828594,0.779831206347157,-0.881100047673115,1.17424236227531
"10","1057","M","Allocentric","landuse_end2",1.2451638562789,0.180037709769969,6.91612805933726,0.00000000000464154852785617,0.892296429270685,1.59803128328711
"11","1060","F","Allocentric","landuse_end1",-0.188581828799389,0.147007993376721,-1.28279982923194,0.199562213983487,-0.476712201257265,0.0995485436584878
"12","1060","F","Allocentric","landuse_end2",0.649115046148071,0.0510394506584282,12.7179081626907,0.000000000000000000000000000000000000470281931225067,0.549079561066843,0.7491505312293
"13","1061","F","Egocentric","landuse_end1",-0.330508404359598,0.413973892799985,-0.798379825655541,0.424650107005945,-1.14188232478741,0.480865516068218
"14","1061","F","Egocentric","landuse_end2",1.34051448027855,0.166762761996514,8.03845213541481,0.000000000000000909803847273596,1.01366547280296,1.66736348775414
"15","1066","M","Allocentric","landuse_end1",-0.248854907829258,1.12168898831487,-0.221857315549755,0.824424959706868,-2.44732492678157,1.94961511112306
"16","1066","M","Allocentric","landuse_end2",1.10243794051929,0.26559041066794,4.15089512361062,0.0000331177503016669,0.581890300970929,1.62298558006766
"17","1067","M","Egocentric","landuse_end1",0.376982774523283,0.222901476114972,1.69125292974209,0.0907885058159665,-0.0598960907628774,0.813861639809444
"18","1067","M","Egocentric","landuse_end2",0.838206875925647,0.129567590879213,6.46926341871284,0.0000000000984817867120522,0.584259064238768,1.09215468761253
"19","1071","M","Egocentric","landuse_end1",-0.0330607088078026,0.088529897163572,-0.373441174869074,0.708820119225646,-0.206576118803438,0.140454701187833
"20","1071","M","Egocentric","landuse_end2",0.578272386731108,0.0496119661507922,11.6559054517914,0.000000000000000000000000000000214092478590038,0.481034719873335,0.675510053588881
"21","1072","M","Allocentric","landuse_end1",0.0594318942888464,0.0686998283535568,0.865095236963127,0.386986518760931,-0.0752172950282085,0.194081083605901
"22","1072","M","Allocentric","landuse_end2",0.34477159738319,0.0488343909936969,7.06001631980401,0.00000000000166483050517381,0.249057949828597,0.440485244937784
"23","1085","M","Allocentric","landuse_end1",0.0761322113699197,0.14349206718648,0.530567388585875,0.595718599337989,-0.205107072382783,0.357371495122623
"24","1085","M","Allocentric","landuse_end2",1.00628158127777,0.119003413125329,8.45590521187823,0.0000000000000000276930505170424,0.773039177514782,1.23952398504075
"25","1086","F","Egocentric","landuse_end1",-0.501392294089108,0.354203593155407,-1.41554829984213,0.156907797444725,-1.19561857986838,0.192833991690167
"26","1086","F","Egocentric","landuse_end2",0.81054076896221,0.0762987896032387,10.6232454430418,0.0000000000000000000000000232340036643902,0.660997889275863,0.960083648648557
"27","1089","M","Allocentric","landuse_end1",-0.0395533472371346,0.134510398043943,-0.294054198131307,0.768716488952469,-0.30318888294941,0.224082188475141
"28","1089","M","Allocentric","landuse_end2",0.661404179043068,0.0764488540515924,8.65159049469481,0.00000000000000000507865963942313,0.511567178442588,0.811241179643548
"29","1091","M","Allocentric","landuse_end1",-0.0908315540055923,0.102560367164842,-0.885639906686386,0.375811600006322,-0.291846179889887,0.110183071878703
"30","1091","M","Allocentric","landuse_end2",0.5481793456174,0.0662975165350187,8.2684748127458,0.000000000000000135683562083038,0.418238600944315,0.678120090290485
"31","1096","M","Egocentric","landuse_end1",-0.087956584077347,0.165175737395418,-0.532503050776674,0.594377629414173,-0.411695080492212,0.235781912337518
"32","1096","M","Egocentric","landuse_end2",0.736841181817058,0.0915378473883915,8.04957952190715,0.000000000000000830789639507588,0.557430297713487,0.916252065920629
"33","1102","M","Egocentric","landuse_end1",-0.0858628484938145,0.21250010954287,-0.404060255208915,0.686168410633456,-0.502355409908656,0.330629712921027
"34","1102","M","Egocentric","landuse_end2",1.22100141770549,0.140379461808128,8.69786364742132,0.00000000000000000338190554904057,0.945862728392441,1.49614010701854
"35","1105","F","Egocentric","landuse_end1",-1.95462792643868,1.12309468877271,-1.74039459537882,0.0817897538928639,-4.15585306766141,0.24659721478405
"36","1105","F","Egocentric","landuse_end2",1.05050892874531,0.104220892838812,10.0796385458914,0.00000000000000000000000679757176228577,0.84623973234463,1.25477812514599
"37","1106","F","Allocentric","landuse_end1",-0.416575079442907,0.393749418234359,-1.05797001887876,0.290069111128566,-1.18830975811585,0.355159599230036
