id,Covariate,lq,me,mean,uq,n,sd,se,inv_se,sex,strategy
1055,mean_speed_other,24.01003893,28.49209447,28.86644233,35.84517056,1000,2.926617061,0.092547758,116.7530407,M,Allocentric
1055,mean_speed_wood,17.03037134,19.56891595,19.5980254,22.45115657,1000,1.380510152,0.043655564,524.7117514,M,Allocentric
1055,sl_,-0.060154793,-0.014191439,-0.016641241,0.013236886,1000,0.018965721,0.000599749,2780105.517,M,Allocentric
1057,cos_ta_,-1.052536662,-0.950099193,-0.951333676,-0.851033128,1000,0.052514619,0.001660658,362609.8155,M,Allocentric
1057,dist_feedr,-0.034456843,-0.026608761,-0.026542623,-0.01869541,1000,0.003915897,0.000123832,65213492.43,M,Allocentric
1057,habitat_end,-0.755691316,-0.445994373,-0.454879775,-0.171768581,1000,0.155177973,0.004907158,41527.88852,M,Allocentric
1057,habitat_log_sl_,-1.110641036,-0.573634843,-0.486304612,0.610251042,1000,0.437300721,0.013828663,5229.252496,M,Allocentric
1057,habitat_start_cos_ta,-1.619963184,-1.156514343,-1.167646748,-0.81219604,1000,0.195570614,0.006184486,26145.25025,M,Allocentric
1057,habitat_start_sl_,-0.002335831,0.047262661,0.045137459,0.078930411,1000,0.019705726,0.00062315,2575224.541,M,Allocentric
1057,log_RSS_wood2other,-0.755691316,-0.445994373,-0.454879775,-0.171768581,1000,0.155177973,0.004907158,41527.88852,M,Allocentric
1057,log_sl_,-0.272022131,-0.050338347,-0.044184771,0.204587858,1000,0.123353931,0.003900794,65719.46354,M,Allocentric
1057,mean_speed_other,22.26593315,26.80333782,27.39021997,36.34013805,1000,3.728807044,0.117915232,71.92173894,M,Allocentric
1057,mean_speed_wood,19.24555355,20.20052243,20.20591954,21.25732594,1000,0.510122507,0.01613149,3842.828727,M,Allocentric
1057,sl_,-0.013705947,0.000956595,0.000502353,0.01347757,1000,0.006985662,0.000220906,20492021.7,M,Allocentric
1060,cos_ta_,-0.774882992,-0.725041534,-0.726131729,-0.678781545,1000,0.024794913,0.000784084,1626577.698,F,Allocentric
1060,dist_feedr,-0.018302235,-0.015840092,-0.01584605,-0.01337914,1000,0.00125548,3.97E-05,634425393.8,F,Allocentric
